ensembl_gene_id	entrezgene_id	external_gene_name
ENSG00000000938	2268	FGR
ENSG00000001460	90529	STPG1
ENSG00000001461	57185	NIPAL3
ENSG00000004487	23028	KDM1A
ENSG00000007923	55735	DNAJC11
ENSG00000007968	1870	E2F2
ENSG00000008128	728642	CDK11A
ENSG00000008130	65220	NADK
ENSG00000009709	5081	PAX7
ENSG00000009724	10747	MASP2
ENSG00000009780	199870	FAM76A
ENSG00000011007	6924	ELOA
ENSG00000011009	11313	LYPLA2
ENSG00000011021	1185	CLCN6
ENSG00000020633	864	RUNX3
ENSG00000028137	7133	TNFRSF1B
ENSG00000037637	54455	FBXO42
ENSG00000040487	54896	SLC66A1
ENSG00000041988	90326	THAP3
ENSG00000048707	55187	VPS13D
ENSG00000049239	9563	H6PD
ENSG00000049245	9341	VAMP3
ENSG00000049246	8863	PER3
ENSG00000049247	10911	UTS2
ENSG00000049249	3604	TNFRSF9
ENSG00000053371	8574	AKR7A2
ENSG00000053372	51154	MRTO4
ENSG00000054523	23095	KIF1B
ENSG00000055070	26099	SZRD1
ENSG00000057757	57095	PITHD1
ENSG00000058453	9696	CROCC
ENSG00000060642	55650	PIGV
ENSG00000060656	10076	PTPRU
ENSG00000065526	23013	SPEN
ENSG00000067606	5590	PRKCZ
ENSG00000069424	8514	KCNAB2
ENSG00000069812	54626	HES2
ENSG00000070831	998	CDC42
ENSG00000070886	2046	EPHA8
ENSG00000074800	2023	ENO1
ENSG00000074964	55160	ARHGEF10L
ENSG00000075151	8672	EIF4G3
ENSG00000076864	5909	RAP1GAP
ENSG00000077549	832	CAPZB
ENSG00000078369	2782	GNB1
ENSG00000078808	51150	SDF4
ENSG00000078900	7161	TP73
ENSG00000080947	114819	CROCCP3
ENSG00000083444	5351	PLOD1
ENSG00000088280	55616	ASAP3
ENSG00000090020	6548	SLC9A1
ENSG00000090273	10726	NUDC
ENSG00000090432	79594	MUL1
ENSG00000090686	84196	USP48
ENSG00000097021	11332	ACOT7
ENSG00000107404	1855	DVL1
ENSG00000116138	23341	DNAJC16
ENSG00000116151	79906	MORN1
ENSG00000116198	9731	CEP104
ENSG00000116213	49856	WRAP73
ENSG00000116237	23463	ICMT
ENSG00000116251	6146	RPL22
ENSG00000116254	26038	CHD5
ENSG00000116273	148479	PHF13
ENSG00000116285	54206	ERRFI1
ENSG00000116288	11315	PARK7
ENSG00000116329	4985	OPRD1
ENSG00000116350	6429	SRSF4
ENSG00000116353	51102	MECR
ENSG00000116649	6723	SRM
ENSG00000116661	26232	FBXO2
ENSG00000116663	26270	FBXO6
ENSG00000116670	10459	MAD2L2
ENSG00000116685	90231	KIAA2013
ENSG00000116688	9927	MFN2
ENSG00000116691	60672	MIIP
ENSG00000116721	65121	PRAMEF1
ENSG00000116726	390999	PRAMEF12
ENSG00000116731	7799	PRDM2
ENSG00000116771	79814	AGMAT
ENSG00000120937	4879	NPPB
ENSG00000120942	29914	UBIAD1
ENSG00000120948	23435	TARDBP
ENSG00000120949	943	TNFRSF8
ENSG00000120952	65122	PRAMEF2
ENSG00000127054	54973	INTS11
ENSG00000130762	27237	ARHGEF16
ENSG00000130764	57470	LRRC47
ENSG00000130939	10277	UBE4B
ENSG00000130940	54897	CASZ1
ENSG00000131584	116983	ACAP3
ENSG00000131591	54991	C1orf159
ENSG00000131686	765	CA6
ENSG00000131697	261734	NPHP4
ENSG00000132879	93611	FBXO44
ENSG00000132906	842	CASP9
ENSG00000142583	6518	SLC2A5
ENSG00000142599	473	RERE
ENSG00000142606	79258	MMEL1
ENSG00000142609	85452	CFAP74
ENSG00000142611	63976	PRDM16
ENSG00000142615	63036	CELA2A
ENSG00000142621	114827	FHAD1
ENSG00000142634	79180	EFHD2
ENSG00000142655	5195	PEX14
ENSG00000142657	5226	PGD
ENSG00000149527	9651	PLCH2
ENSG00000157330	93190	C1orf158
ENSG00000157870	127281	PRXL2B
ENSG00000157873	8764	TNFRSF14
ENSG00000157881	55229	PANK4
ENSG00000157911	5192	PEX10
ENSG00000157916	11079	RER1
ENSG00000157933	6497	SKI
ENSG00000158109	127262	TPRG1L
ENSG00000158286	388591	RNF207
ENSG00000158292	387509	GPR153
ENSG00000160049	1676	DFFA
ENSG00000160072	83858	ATAD3B
ENSG00000160075	29101	SSU72
ENSG00000160087	118424	UBE2J2
ENSG00000162408	79707	NOL9
ENSG00000162413	9903	KLHL21
ENSG00000162426	50651	SLC45A1
ENSG00000162438	11330	CTRC
ENSG00000162441	84328	LZIC
ENSG00000162444	116362	RBP7
ENSG00000162490	374946	DRAXIN
ENSG00000162493	10630	PDPN
ENSG00000162494	126755	LRRC38
ENSG00000162496	9249	DHRS3
ENSG00000162571	254173	TTLL10
ENSG00000162572	6339	SCNN1D
ENSG00000162576	54587	MXRA8
ENSG00000162585	199990	FAAP20
ENSG00000162591	1953	MEGF6
ENSG00000162592	148870	CCDC27
ENSG00000169598	1677	DFFB
ENSG00000169717	140625	ACTRT2
ENSG00000169885	163688	CALML6
ENSG00000169962	83756	TAS1R3
ENSG00000169972	126789	PUSL1
ENSG00000171603	22883	CLSTN1
ENSG00000171608	5293	PIK3CD
ENSG00000171612	84275	SLC25A33
ENSG00000171621	80176	SPSB1
ENSG00000171680	57449	PLEKHG5
ENSG00000171729	55092	TMEM51
ENSG00000171735	23261	CAMTA1
ENSG00000171819	10218	ANGPTL7
ENSG00000171824	5394	EXOSC10
ENSG00000173614	64802	NMNAT1
ENSG00000173662	80835	TAS1R1
ENSG00000173673	390992	HES3
ENSG00000175147	200197	TMEM51-AS1
ENSG00000175206	4878	NPPA
ENSG00000175262	148345	C1orf127
ENSG00000175279	378708	CENPS
ENSG00000175756	54998	AURKAIP1
ENSG00000176022	126792	B3GALT6
ENSG00000177000	4524	MTHFR
ENSG00000177133	440556	PRDM16-DT
ENSG00000177553	102724659	C1orf167-AS1
ENSG00000177674	57085	AGTRAP
ENSG00000177757	400728	FAM87B
ENSG00000178585	56998	CTNNBIP1
ENSG00000178821	339456	TMEM52
ENSG00000179172	343069	HNRNPCL1
ENSG00000179403	64856	VWA1
ENSG00000179412	101060301	HNRNPCL4
ENSG00000179840	644997	PIK3CD-AS1
ENSG00000180758	80045	GPR157
ENSG00000182330	391002	PRAMEF8
ENSG00000182873	100506504	PRKCZ-AS1
ENSG00000184163	388581	C1QTNF12
ENSG00000186092	79501	OR4F5
ENSG00000186827	7293	TNFRSF4
ENSG00000186891	8784	TNFRSF18
ENSG00000187017	83715	ESPN
ENSG00000187545	343071	PRAMEF10
ENSG00000187583	84069	PLEKHN1
ENSG00000187608	9636	ISG15
ENSG00000187634	148398	SAMD11
ENSG00000187642	84808	PERM1
ENSG00000187730	2563	GABRD
ENSG00000187961	339451	KLHL17
ENSG00000188157	375790	AGRN
ENSG00000188290	57801	HES4
ENSG00000188807	199953	TMEM201
ENSG00000188976	26155	NOC2L
ENSG00000188984	126767	AADACL3
ENSG00000189337	23254	KAZN
ENSG00000189339	728661	SLC35E2B
ENSG00000189409	8510	MMP23B
ENSG00000196581	55966	AJAP1
ENSG00000197241	155184	SLC2A7
ENSG00000197530	142678	MIB2
ENSG00000197785	55210	ATAD3A
ENSG00000197921	388585	HES5
ENSG00000198744	NA	MTCO3P12
ENSG00000198793	2475	MTOR
ENSG00000198912	339448	C1orf174
ENSG00000198976	554210	MIR429
ENSG00000199347	NA	RNU5E-1
ENSG00000199562	NA	RNU6-37P
ENSG00000200344	NA	Y_RNA
ENSG00000200975	NA	RNU1-7P
ENSG00000201135	NA	RNU6-777P
ENSG00000201725	NA	RNU6-304P
ENSG00000201746	NA	RNU6-828P
ENSG00000201801	NA	RNU5E-4P
ENSG00000202415	NA	RN7SKP269
ENSG00000202461	NA	Y_RNA
ENSG00000203469	NA	
ENSG00000204464	727684	C1orf195
ENSG00000204478	645425	PRAMEF20
ENSG00000204479	391004	PRAMEF17
ENSG00000204480	645414	PRAMEF19
ENSG00000204481	729528	PRAMEF14
ENSG00000204501	653619	PRAMEF15
ENSG00000204505	343070	PRAMEF9
ENSG00000204510	441871	PRAMEF7
ENSG00000204518	343066	AADACL4
ENSG00000204624	57540	DISP3
ENSG00000204859	3104	ZBTB48
ENSG00000205090	339453	TMEM240
ENSG00000205116	643965	TMEM88B
ENSG00000205231	100506376	TTLL10-AS1
ENSG00000207056	NA	RNU1-8P
ENSG00000207434	NA	RNU6-1072P
ENSG00000207451	NA	RNU6-291P
ENSG00000207511	NA	RNU6-771P
ENSG00000207607	406983	MIR200A
ENSG00000207730	406984	MIR200B
ENSG00000207776	693135	MIR551A
ENSG00000215014	NA	
ENSG00000215704	51032	CELA2B
ENSG00000215720	NA	MFFP1
ENSG00000215785	NA	CFL1P6
ENSG00000215788	8718	TNFRSF25
ENSG00000215790	9906	SLC35E2A
ENSG00000215909	NA	BRWD1P1
ENSG00000215910	284498	C1orf167
ENSG00000215912	100287898	TTC34
ENSG00000215914	NA	MMP23A
ENSG00000215915	219293	ATAD3C
ENSG00000217801	100288175	
ENSG00000221083	NA	
ENSG00000221340	NA	RNU6ATAC18P
ENSG00000221978	81669	CCNL2
ENSG00000222511	NA	Y_RNA
ENSG00000222623	NA	RNU6-1100P
ENSG00000222952	NA	RNA5SP41
ENSG00000223181	NA	RNU6-1199P
ENSG00000223663	NA	NDUFB4P8
ENSG00000223764	100130417	LINC02593
ENSG00000223823	254099	LINC01342
ENSG00000223972	84771	DDX11L1
ENSG00000223972	727856	DDX11L1
ENSG00000223972	100287102	DDX11L1
ENSG00000223972	100287596	DDX11L1
ENSG00000223972	102725121	DDX11L1
ENSG00000223989	NA	
ENSG00000224051	80772	CPTP
ENSG00000224315	NA	RPL7P7
ENSG00000224338	NA	MTCYBP45
ENSG00000224340	NA	
ENSG00000224387	NA	
ENSG00000224870	148413	MRPL20-AS1
ENSG00000224904	NA	SBF1P2
ENSG00000224969	NA	
ENSG00000225077	NA	LINC00337
ENSG00000225126	NA	CAMTA1-AS1
ENSG00000225158	NA	HSPE1P24
ENSG00000225196	NA	RPL10P17
ENSG00000225285	NA	LINC01770
ENSG00000225602	100873935	MTOR-AS1
ENSG00000225630	NA	MTND2P28
ENSG00000225880	79854	LINC00115
ENSG00000225905	NA	
ENSG00000225931	NA	
ENSG00000225972	NA	MTND1P23
ENSG00000226166	NA	
ENSG00000226286	NA	
ENSG00000226374	105376672	LINC01345
ENSG00000226545	NA	
ENSG00000226849	NA	
ENSG00000226944	102724450	RNF207-AS1
ENSG00000226969	NA	
ENSG00000227169	NA	
ENSG00000227232	653635	WASH7P
ENSG00000227372	57212	TP73-AS1
ENSG00000227589	NA	TP73-AS3
ENSG00000227634	102724539	LINC01714
ENSG00000227775	NA	
ENSG00000227875	NA	RPL23AP89
ENSG00000227950	NA	
ENSG00000228037	NA	
ENSG00000228140	NA	
ENSG00000228150	NA	
ENSG00000228229	NA	
ENSG00000228327	NA	
ENSG00000228338	NA	LINC01784
ENSG00000228423	NA	
ENSG00000228463	NA	
ENSG00000228526	106614088	MIR34AHG
ENSG00000228594	643988	FNDC10
ENSG00000228750	NA	LINC01672
ENSG00000228794	643837	LINC01128
ENSG00000229280	NA	EEF1DP6
ENSG00000229305	NA	
ENSG00000229344	NA	MTCO2P12
ENSG00000229376	NA	CICP3
ENSG00000229393	NA	
ENSG00000229484	NA	LINC02766
ENSG00000229519	NA	
ENSG00000229571	441873	PRAMEF25
ENSG00000229571	645359	PRAMEF25
ENSG00000229716	NA	RPL23AP19
ENSG00000229905	NA	
ENSG00000229978	NA	PRAMEF36P
ENSG00000230021	101928626	
ENSG00000230092	NA	
ENSG00000230337	105376736	EXOSC10-AS1
ENSG00000230368	284593	FAM41C
ENSG00000230415	NA	LINC01786
ENSG00000230679	100505975	ENO1-AS1
ENSG00000230699	NA	
ENSG00000231050	NA	
ENSG00000231103	NA	PRAMEF30P
ENSG00000231181	NA	
ENSG00000231219	NA	PRAMEF32P
ENSG00000231510	NA	LINC02782
ENSG00000231606	NA	
ENSG00000231630	NA	
ENSG00000231702	NA	
ENSG00000231789	101929074	PIK3CD-AS2
ENSG00000231868	NA	
ENSG00000232208	NA	
ENSG00000232423	440561	PRAMEF6
ENSG00000232596	NA	LINC01646
ENSG00000232663	NA	
ENSG00000232848	NA	
ENSG00000232912	NA	RERE-AS1
ENSG00000233234	NA	
ENSG00000233268	NA	
ENSG00000233304	NA	LINC01346
ENSG00000233336	NA	
ENSG00000233485	101927417	FHAD1-AS1
ENSG00000233542	NA	
ENSG00000233623	NA	PGAM1P11
ENSG00000233645	NA	
ENSG00000233653	NA	CICP7
ENSG00000233750	NA	CICP27
ENSG00000234064	NA	PRAMEF29P
ENSG00000234396	NA	
ENSG00000234546	102724571	LNCTAM34A
ENSG00000234593	NA	KAZN-AS1
ENSG00000234619	NA	RPL7P11
ENSG00000234711	NA	TUBB8P11
ENSG00000235054	284661	LINC01777
ENSG00000235098	441869	ANKRD65
ENSG00000235131	NA	TP73-AS2
ENSG00000235146	NA	
ENSG00000235169	388588	SMIM1
