ensembl_gene_id	entrezgene_id	external_gene_name
ENSMUSG00000001138	94218	Cnnm3
ENSMUSG00000001143	214895	Lman2l
ENSMUSG00000002459	58175	Rgs20
ENSMUSG00000002881	17936	Nab1
ENSMUSG00000003134	54610	Tbc1d8
ENSMUSG00000003135	52846	Cnot11
ENSMUSG00000004768	19335	Rab23
ENSMUSG00000005886	17978	Ncoa2
ENSMUSG00000008136	14200	Fhl2
ENSMUSG00000016918	240725	Sulf1
ENSMUSG00000025774	78081	Crisp4
ENSMUSG00000025776	83691	Crispld1
ENSMUSG00000025777	14545	Gdap1
ENSMUSG00000025779	17087	Ly96
ENSMUSG00000025900	19888	Rp1
ENSMUSG00000025902	20671	Sox17
ENSMUSG00000025903	18777	Lypla1
ENSMUSG00000025905	18387	Oprk1
ENSMUSG00000025907	12421	Rb1cc1
ENSMUSG00000025909	71096	Sntg1
ENSMUSG00000025911	76187	Adhfe1
ENSMUSG00000025912	17864	Mybl1
ENSMUSG00000025915	170755	Sgk3
ENSMUSG00000025916	69312	Ppp1r42
ENSMUSG00000025917	26754	Cops5
ENSMUSG00000025920	29819	Stau2
ENSMUSG00000025921	98711	Rdh10
ENSMUSG00000025925	21749	Terf1
ENSMUSG00000025927	21419	Tfap2b
ENSMUSG00000025929	16171	Il17a
ENSMUSG00000025930	17681	Msc
ENSMUSG00000025931	74229	Paqr8
ENSMUSG00000025932	14048	Eya1
ENSMUSG00000025933	75712	Tmem14a
ENSMUSG00000025934	14859	Gsta3
ENSMUSG00000025935	72265	Tram1
ENSMUSG00000025936	NA	Gm4956
ENSMUSG00000025937	212442	Lactb2
ENSMUSG00000025938	240726	Slco5a1
ENSMUSG00000025939	66799	Ube2w
ENSMUSG00000025940	70397	Tmem70
ENSMUSG00000026058	170771	Khdrbs2
ENSMUSG00000026063	74708	Pih1d3
ENSMUSG00000026064	19243	Ptp4a1
ENSMUSG00000026123	226971	Plekhb2
ENSMUSG00000026124	12627	Cfc1
ENSMUSG00000026125	21755	Prss39
ENSMUSG00000026126	19253	Ptpn18
ENSMUSG00000026127	27993	Imp4
ENSMUSG00000026131	13518	Dst
ENSMUSG00000026134	19076	Prim2
ENSMUSG00000026141	12823	Col19a1
ENSMUSG00000026147	12839	Col9a1
ENSMUSG00000026153	68187	Fam135a
ENSMUSG00000026154	68002	Sdhaf4
ENSMUSG00000026155	98366	Smap1
ENSMUSG00000026156	280645	B3gat2
ENSMUSG00000026158	70155	Ogfrl1
ENSMUSG00000028033	226922	Kcnq5
ENSMUSG00000032719	226866	Sbspon
ENSMUSG00000032769	277328	Trpa1
ENSMUSG00000033569	210933	Adgrb3
ENSMUSG00000033740	240690	St18
ENSMUSG00000033774	226304	Npbwr1
ENSMUSG00000033793	108664	Atp6v1h
ENSMUSG00000033813	21399	Tcea1
ENSMUSG00000033845	27395	Mrpl15
ENSMUSG00000037503	214469	Fam168b
ENSMUSG00000037509	226970	Arhgef4
ENSMUSG00000037529	21756	Prss40
ENSMUSG00000041670	116837	Rims1
ENSMUSG00000041722	433278	Khdc1c
ENSMUSG00000041779	170829	Tram2
ENSMUSG00000041809	71877	Efhc1
ENSMUSG00000041859	17215	Mcm3
ENSMUSG00000041872	257630	Il17f
ENSMUSG00000042111	69668	Ccdc115
ENSMUSG00000042182	320705	Bend6
ENSMUSG00000042197	98403	Zfp451
ENSMUSG00000042215	213539	Bag2
ENSMUSG00000042414	383491	Prdm14
ENSMUSG00000042501	329093	Cpa6
ENSMUSG00000042596	226896	Tfap2d
ENSMUSG00000042686	57339	Jph1
ENSMUSG00000043716	19989	Rpl7
ENSMUSG00000043760	241035	Pkhd1
ENSMUSG00000045174	211383	Amer3
ENSMUSG00000045210	70675	Vcpip1
ENSMUSG00000045815	NA	1700101I19Rik
ENSMUSG00000046101	240697	Mcmdc2
