Pathway ids	Descriptions	P values	FDR	MES	Ids	Web links
path:mmu00010	Glycolysis / Gluconeogenesis - Mus musculus (mouse)	0.001	0.00397260273972603	0.275466992416145	mmu00010	http://www.kegg.jp/kegg-bin/show_pathway?mmu00010/default%3white/hsa:15277%09%23ffebeb/hsa:212032%09%23fff7f7/hsa:15275%09%23fafaff/hsa:216019%09%23ffb3b3/hsa:103988%09%23ffbaba/hsa:14751%09%23fffefe/hsa:18641%09%23ffffff/hsa:18642%09%23f3f3ff/hsa:56421%09%23fff1f1/hsa:14121%09%23ffc4c4/hsa:14120%09%23f2f2ff/hsa:11674%09%23ffeaea/hsa:230163%09%23ffb8b8/hsa:11676%09%23e5e5ff/hsa:353204%09%23fdfdff/hsa:21991%09%23ffe8e8/hsa:14433%09%23ffebeb/hsa:14447%09%23ffe1e1/hsa:18655%09%23fffafa/hsa:18663/hsa:18648%09%23ffefef/hsa:56012%09%23b7b7ff/hsa:13806%09%23fff7f7/hsa:13807%09%23fff6f6/hsa:13808%09%23e0e0ff/hsa:433182/hsa:18746%09%23fffafa/hsa:18770%09%23ff7676/hsa:18597%09%23ffffff/hsa:18598/hsa:68263%09%23fffbfb/hsa:235339%09%23fffdfd/hsa:13382%09%23fffafa/hsa:16828%09%23fff2f2/hsa:16832%09%23fff5f5/hsa:16833/hsa:106557/hsa:11522%09%23fff3f3/hsa:11529%09%23e3e3ff/hsa:26876%09%23ffc8c8/hsa:11532%09%23ffefef/hsa:58810%09%23fff5f5/hsa:11669%09%23fcfcff/hsa:11671%09%23ffeeee/hsa:72535%09%23ffeded/hsa:110695%09%23ffeeee/hsa:56752%09%23fffdfd/hsa:11670%09%23eeeeff/hsa:56847%09%23f0f0ff/hsa:67689%09%23fff5f5/hsa:621603%09%23ffdcdc/hsa:73458%09%23ffc8c8/hsa:68738%09%23ececff/hsa:60525%09%23ffe0e0/hsa:319625%09%23fff8f8/hsa:72157%09%23fffdfd/hsa:66681%09%23fcfcff/hsa:14377%09%23ffdede/hsa:14378/hsa:68401%09%23ffefef/hsa:72141%09%23fff5f5/hsa:12183%09%23f5f5ff/hsa:17330%09%23fff3f3/hsa:18534%09%23f3f3ff/hsa:74551%09%23fbfbff
path:mmu00020	Citrate cycle (TCA cycle) - Mus musculus (mouse)	0.002	0.00651685393258427	0.313148102207889	mmu00020	http://www.kegg.jp/kegg-bin/show_pathway?mmu00020/default%3white/hsa:12974%09%23ffffff/hsa:71832/hsa:104112%09%23fff2f2/hsa:11429%09%23fefeff/hsa:11428%09%23ffffff/hsa:15926%09%23ffefef/hsa:269951%09%23fefeff/hsa:15929%09%23fff9f9/hsa:67834%09%23fffefe/hsa:170718%09%23fffafa/hsa:243996/hsa:18293%09%23fbfbff/hsa:239017%09%23ffc5c5/hsa:78920%09%23fcfcff/hsa:13382%09%23fffafa/hsa:56451%09%23fffbfb/hsa:20917%09%23fffdfd/hsa:20916%09%23fffcfc/hsa:66945%09%23fefeff/hsa:67680%09%23fffdfd/hsa:66052%09%23fff7f7/hsa:66925%09%23fffafa/hsa:14194%09%23fff7f7/hsa:17449%09%23fff8f8/hsa:17448%09%23fff2f2/hsa:18563%09%23fffcfc/hsa:18534%09%23f3f3ff/hsa:74551%09%23fbfbff/hsa:18597%09%23ffffff/hsa:18598/hsa:68263%09%23fffbfb/hsa:235339%09%23fffdfd
path:mmu00030	Pentose phosphate pathway - Mus musculus (mouse)	0.004	0.0105454545454545	0.312572696204808	mmu00030	http://www.kegg.jp/kegg-bin/show_pathway?mmu00030/default%3white/hsa:14751%09%23fffefe/hsa:14380%09%23ffeded/hsa:14381%09%23fff2f2/hsa:66171%09%23fff8f8/hsa:100198%09%23fdfdff/hsa:110208%09%23ffeaea/hsa:66646%09%23ffe9e9/hsa:21881%09%23fcfcff/hsa:83553%09%23fbfbff/hsa:74419/hsa:21351%09%23fff2f2/hsa:19895%09%23fff4f4/hsa:232449%09%23ffe7e7/hsa:71336%09%23fff1f1/hsa:72157%09%23fffdfd/hsa:66681%09%23fcfcff/hsa:19139%09%23fefeff/hsa:110639%09%23fff1f1/hsa:328099%09%23fff7f7/hsa:75456%09%23ffcdcd/hsa:19733%09%23ffb4b4/hsa:75731%09%23fff7f7/hsa:11674%09%23ffeaea/hsa:230163%09%23ffb8b8/hsa:11676%09%23e5e5ff/hsa:353204%09%23fdfdff/hsa:14121%09%23ffc4c4/hsa:14120%09%23f2f2ff/hsa:18641%09%23ffffff/hsa:18642%09%23f3f3ff/hsa:56421%09%23fff1f1
path:mmu00040	Pentose and glucuronate interconversions - Mus musculus (mouse)	0.001	0.00397260273972603	0.600102311566829	mmu00040	http://www.kegg.jp/kegg-bin/show_pathway?mmu00040/default%3white/hsa:110006%09%23fff1f1/hsa:16591%09%23ffeded/hsa:22238%09%23ffb7b7/hsa:22236%09%23ffdbdb/hsa:94284%09%23ffdcdc/hsa:94215/hsa:394434%09%23ffdbdb/hsa:394430%09%23ffdbdb/hsa:394432%09%23ffdbdb/hsa:394433%09%23ffdbdb/hsa:72094%09%23ff9e9e/hsa:552899/hsa:71773%09%23ffdddd/hsa:394435%09%23ffdcdc/hsa:394436%09%23ffdada/hsa:100727%09%23ffc0c0/hsa:231396%09%23ffc2c2/hsa:100559%09%23ffcccc/hsa:112417/hsa:243085%09%23ffebeb/hsa:22235%09%23ffffff/hsa:216558%09%23fffafa/hsa:58810%09%23fff5f5/hsa:68631%09%23fffdfd/hsa:66646%09%23ffe9e9/hsa:102448%09%23ffe3e3/hsa:11997/hsa:14187%09%23ffeaea/hsa:11677%09%23fff2f2/hsa:67861%09%23fff7f7/hsa:67880%09%23ffdcdc/hsa:20322%09%23ffecec/hsa:71755%09%23fff8f8/hsa:11669%09%23fcfcff/hsa:11671%09%23ffeeee/hsa:72535%09%23ffeded
path:mmu00051	Fructose and mannose metabolism - Mus musculus (mouse)	0.001	0.00397260273972603	0.38944704118529	mmu00051	http://www.kegg.jp/kegg-bin/show_pathway?mmu00051/default%3white/hsa:110119%09%23fffafa/hsa:54128%09%23fff3f3/hsa:29858%09%23ffe9e9/hsa:331026%09%23fffafa/hsa:69080%09%23fff4f4/hsa:218138%09%23fff7f7/hsa:22122%09%23fff5f5/hsa:75540%09%23fffdfd/hsa:234730%09%23fff9f9/hsa:15277%09%23ffebeb/hsa:212032%09%23fff7f7/hsa:15275%09%23fafaff/hsa:216019%09%23ffb3b3/hsa:18641%09%23ffffff/hsa:18642%09%23f3f3ff/hsa:56421%09%23fff1f1/hsa:14121%09%23ffc4c4/hsa:14120%09%23f2f2ff/hsa:18639%09%23fffafa/hsa:18640%09%23f5f5ff/hsa:170768%09%23fefeff/hsa:270198%09%23fffafa/hsa:319801%09%23ffecec/hsa:16548%09%23ffe7e7/hsa:20322%09%23ffecec/hsa:11997/hsa:14187%09%23ffeaea/hsa:11677%09%23fff2f2/hsa:67861%09%23fff7f7/hsa:11674%09%23ffeaea/hsa:230163%09%23ffb8b8/hsa:11676%09%23e5e5ff/hsa:353204%09%23fdfdff/hsa:21991%09%23ffe8e8/hsa:225913%09%23fff8f8
path:mmu00052	Galactose metabolism - Mus musculus (mouse)	0.005	0.0128318584070796	0.304593566526089	mmu00052	http://www.kegg.jp/kegg-bin/show_pathway?mmu00052/default%3white/hsa:319625%09%23fff8f8/hsa:14635%09%23fdfdff/hsa:14430%09%23fffbfb/hsa:74246%09%23ffe5e5/hsa:216558%09%23fffafa/hsa:72157%09%23fffdfd/hsa:66681%09%23fcfcff/hsa:15277%09%23ffebeb/hsa:212032%09%23fff7f7/hsa:15275%09%23fafaff/hsa:216019%09%23ffb3b3/hsa:103988%09%23ffbaba/hsa:14377%09%23ffdede/hsa:14378/hsa:68401%09%23ffefef/hsa:12091%09%23fff7f7/hsa:226413%09%23ffeded/hsa:16770%09%23fffbfb/hsa:14595%09%23fffefe/hsa:53418%09%23fcfcff/hsa:11605%09%23fff7f7/hsa:11997/hsa:14187%09%23ffeaea/hsa:11677%09%23fff2f2/hsa:67861%09%23fff7f7/hsa:18641%09%23ffffff/hsa:18642%09%23f3f3ff/hsa:56421%09%23fff1f1/hsa:232714%09%23ffcccc/hsa:14387%09%23fdfdff/hsa:76051%09%23f9f9ff/hsa:69983
path:mmu00053	Ascorbate and aldarate metabolism - Mus musculus (mouse)	0.001	0.00397260273972603	0.730526502300809	mmu00053	http://www.kegg.jp/kegg-bin/show_pathway?mmu00053/default%3white/hsa:22235%09%23ffffff/hsa:22238%09%23ffb7b7/hsa:22236%09%23ffdbdb/hsa:94284%09%23ffdcdc/hsa:94215/hsa:394434%09%23ffdbdb/hsa:394430%09%23ffdbdb/hsa:394432%09%23ffdbdb/hsa:394433%09%23ffdbdb/hsa:72094%09%23ff9e9e/hsa:552899/hsa:71773%09%23ffdddd/hsa:394435%09%23ffdcdc/hsa:394436%09%23ffdada/hsa:100727%09%23ffc0c0/hsa:231396%09%23ffc2c2/hsa:100559%09%23ffcccc/hsa:112417/hsa:243085%09%23ffebeb/hsa:56727/hsa:19733%09%23ffb4b4/hsa:268756%09%23ffd2d2/hsa:11669%09%23fcfcff/hsa:11671%09%23ffeeee/hsa:72535%09%23ffeded/hsa:110695%09%23ffeeee/hsa:56752%09%23fffdfd
path:mmu00061	Fatty acid biosynthesis - Mus musculus (mouse)	0.353	0.370035842293907	0.189409715823228	mmu00061	http://www.kegg.jp/kegg-bin/show_pathway?mmu00061/default%3white/hsa:107476%09%23fcfcff/hsa:100705%09%23f8f8ff/hsa:223722%09%23fdfdff/hsa:14104%09%23fdfdff/hsa:71147%09%23fff4f4/hsa:99035%09%23ffd8d8/hsa:14081%09%23ffffff/hsa:50790%09%23fff8f8/hsa:216739%09%23fbfbff/hsa:74205%09%23fdfdff/hsa:433256%09%23fff8f8/hsa:328845/hsa:94180%09%23ccccff/hsa:78625%09%23fffbfb
path:mmu00062	Fatty acid elongation - Mus musculus (mouse)	0.003	0.00820754716981132	0.33923063090479	mmu00062	http://www.kegg.jp/kegg-bin/show_pathway?mmu00062/default%3white/hsa:52538%09%23fffafa/hsa:231086%09%23fff9f9/hsa:15107%09%23ffffff/hsa:97212%09%23ffffff/hsa:93747%09%23fffbfb/hsa:26922%09%23fff6f6/hsa:19063%09%23fff6f6/hsa:54397%09%23fefeff/hsa:54325%09%23ffecec/hsa:54326%09%23ffb9b9/hsa:12686%09%23efefff/hsa:83603%09%23fdfdff/hsa:68801%09%23fff3f3/hsa:170439%09%23fffcfc/hsa:74559%09%23e2e2ff/hsa:56348%09%23ffe8e8/hsa:70757%09%23fff1f1/hsa:30963%09%23ffeaea/hsa:66775%09%23fff5f5/hsa:57874%09%23ffffff/hsa:106529%09%23ffe5e5/hsa:26897%09%23ededff/hsa:171210%09%23fefeff/hsa:171281%09%23ffa2a2/hsa:217698/hsa:171282%09%23ffd9d9/hsa:70025%09%23fff6f6
path:mmu00071	Fatty acid degradation - Mus musculus (mouse)	0.001	0.00397260273972603	0.320761437081375	mmu00071	http://www.kegg.jp/kegg-bin/show_pathway?mmu00071/default%3white/hsa:110460%09%23ffebeb/hsa:110446%09%23fff7f7/hsa:113868%09%23fffcfc/hsa:235674%09%23ffdfdf/hsa:52538%09%23fffafa/hsa:231086%09%23fff9f9/hsa:15107%09%23ffffff/hsa:97212%09%23ffffff/hsa:74147%09%23fff3f3/hsa:93747%09%23fffbfb/hsa:80911%09%23fefeff/hsa:11430%09%23ffffff/hsa:11409%09%23fffafa/hsa:11364%09%23fffafa/hsa:11363%09%23ffffff/hsa:66885%09%23fff4f4/hsa:11370%09%23ffffff/hsa:270076%09%23fff3f3/hsa:14081%09%23ffffff/hsa:50790%09%23fff8f8/hsa:216739%09%23fbfbff/hsa:74205%09%23fdfdff/hsa:433256%09%23fff8f8/hsa:328845/hsa:94180%09%23ccccff/hsa:78625%09%23fffbfb/hsa:12894%09%23fff7f7/hsa:12895%09%23f8f8ff/hsa:78070%09%23fff5f5/hsa:12896%09%23fffafa/hsa:13177%09%23fffcfc/hsa:23986%09%23fff6f6/hsa:13118%09%23f4f4ff/hsa:13117%09%23ffacac/hsa:13119%09%23ffbbbb/hsa:435802/hsa:230639/hsa:666168%09%23ffefef/hsa:100040843%09%23fff7f7/hsa:277753%09%23fdfdff/hsa:11522%09%23fff3f3/hsa:11529%09%23e3e3ff/hsa:26876%09%23ffc8c8/hsa:11532%09%23ffefef/hsa:11669%09%23fcfcff/hsa:11671%09%23ffeeee/hsa:72535%09%23ffeded/hsa:110695%09%23ffeeee/hsa:56752%09%23fffdfd
path:mmu00072	Synthesis and degradation of ketone bodies - Mus musculus (mouse)	0.053	0.0849171270718232	0.389720558882236	mmu00072	http://www.kegg.jp/kegg-bin/show_pathway?mmu00072/default%3white/hsa:208715%09%23fff4f4/hsa:15360%09%23ffffff/hsa:15356%09%23fff5f5/hsa:208982%09%23ebebff/hsa:67041%09%23ffefef/hsa:64059/hsa:353371/hsa:110460%09%23ffebeb/hsa:110446%09%23fff7f7/hsa:69772%09%23f6f6ff/hsa:71911%09%23ffd0d0
path:mmu00100	Steroid biosynthesis - Mus musculus (mouse)	0.001	0.00397260273972603	0.546316657504123	mmu00100	http://www.kegg.jp/kegg-bin/show_pathway?mmu00100/default%3white/hsa:14137%09%23fff7f7/hsa:20775%09%23fff8f8/hsa:16987%09%23fff6f6/hsa:13121%09%23ffe4e4/hsa:73166%09%23ffeaea/hsa:66234%09%23fff4f4/hsa:18194%09%23ffd7d7/hsa:15490%09%23fff2f2/hsa:13595%09%23ffebeb/hsa:74754%09%23fff9f9/hsa:235293%09%23ffefef/hsa:13360%09%23ffe0e0/hsa:16889%09%23fffafa/hsa:12613%09%23c4c4ff/hsa:20652%09%23fffcfc/hsa:223920%09%23ffdede/hsa:244209%09%23ffd1d1/hsa:13115/hsa:13081
path:mmu00120	Primary bile acid biosynthesis - Mus musculus (mouse)	0.001	0.00397260273972603	0.468845474150842	mmu00120	http://www.kegg.jp/kegg-bin/show_pathway?mmu00120/default%3white/hsa:13116%09%23ffeaea/hsa:56050%09%23fefeff/hsa:101502%09%23fffcfc/hsa:12642%09%23f6f6ff/hsa:13123%09%23ffdbdb/hsa:13122%09%23ffb0b0/hsa:104086%09%23ffffff/hsa:13124%09%23ffb0b0/hsa:208665%09%23ffb8b8/hsa:26459%09%23ffbcbc/hsa:17117%09%23fff4f4/hsa:93732%09%23ffe5e5/hsa:15488%09%23fff3f3/hsa:20280%09%23fffcfc/hsa:170789%09%23fff2f2/hsa:12012%09%23ffbaba
path:mmu00130	Ubiquinone and other terpenoid-quinone biosynthesis - Mus musculus (mouse)	0.00999000999000999	0.0224806201550388	0.456401964307103	mmu00130	http://www.kegg.jp/kegg-bin/show_pathway?mmu00130/default%3white/hsa:234724%09%23ffc5c5/hsa:71883%09%23fefeff/hsa:230027%09%23ffecec/hsa:217707%09%23fff8f8/hsa:52064%09%23fffbfb/hsa:12850%09%23fff4f4/hsa:18104%09%23ffffff/hsa:56316%09%23fff1f1/hsa:27973%09%23ffefef/hsa:69568%09%23fefeff/hsa:15445%09%23ffbdbd
